lut_id,rec_psnr,affine_psnr,nonaffine_rms,clip_frac,lip_p999,curv_mean,hue_rot_std
e18__e18_002575,38.819128851338746,19.508273172943237,0.10582452830425344,0.0,4.538393974304199,5.2604851722717285,0.30291344022896427
e18__e18_002577,38.88369294431287,19.7015550590116,0.1034956858883013,0.0,8.134706497192383,6.767522811889648,0.358191333553313
e18__e18_002594,36.193807628187315,17.672644166808933,0.1307277515671676,0.07135725021362305,8.286520004272461,7.174057483673096,0.2069085326797299
e18__e18_002596,43.40727765165682,25.01842464321747,0.05611497423371203,0.0,4.243886947631836,3.325563430786133,0.2541164804716239
e18__e18_002606,38.55895322668932,21.277244710310338,0.086325234045411,0.0,5.371165752410889,5.895490646362305,0.24953604323036224
e18__e18_002613,38.829410309956245,20.35351060259629,0.09601176862522541,0.0,7.825048923492432,6.0579833984375,0.34552630060469636
e18__e18_002614,41.21453468778034,22.944588248600617,0.07124765709111822,0.0,4.716606140136719,4.683392524719238,0.19337411345236946
e18__e18_002625,36.35512763553143,18.925265217359822,0.11317141321712937,0.0,6.09006404876709,7.312591552734375,0.2477077660082867
e18__e18_002630,40.56310766764251,23.43939296645423,0.06730236904625547,0.0,3.1272170543670654,3.8390064239501953,0.273483715664194
e18__e18_002631,41.25693779230546,24.941633273848154,0.05661328247708331,0.0,3.5612547397613525,4.714620590209961,0.14535120784906477
quandian__quandian_004314,38.80391429540015,20.125163471553215,0.09856933496242505,0.0052356719970703125,11.438292503356934,8.9390869140625,0.3537393583937007
quandian__quandian_004317,38.14211944860082,18.43821565096394,0.11969864038955663,0.039738972981770836,12.334555625915527,8.276413917541504,0.3107795728505147
quandian__quandian_004319,37.86660382899714,18.541670529561387,0.11828140469796711,0.008143424987792969,11.307019233703613,8.9509859085083,0.5770416283168567
quandian__quandian_004321,37.84171354518742,19.85422294166382,0.10169248332618637,0.042304674784342446,11.947731971740723,8.694218635559082,0.2895830205919724
quandian__quandian_006461,36.434243131887754,18.00240749794809,0.12585765194556991,0.06453259785970052,12.107609748840332,12.485127449035645,0.3326714987711099
quandian__quandian_006462,37.29964719506046,18.916057754689866,0.11329144399091905,0.15437793731689453,17.21277618408203,12.184191703796387,0.430300007991477
quandian__quandian_006464,37.171531239756064,17.737380048434108,0.12975706021673458,0.0,27.410236358642578,10.662516593933105,1.6291795621773724
quandian__quandian_009893,39.34826896088332,19.63431632069527,0.10429997010942645,0.004925251007080078,7.8313422203063965,13.21786880493164,0.4157613930006689
quandian__quandian_009896,40.22156199652527,20.340671049396683,0.0961537989572721,0.052738030751546226,9.540992736816406,7.790594577789307,0.2911054450695712
quandian__quandian_009915,36.27494487928992,16.80470300157978,0.14446573447922026,0.11132526397705078,17.68986701965332,17.77712059020996,0.3960432660222259
quandian__quandian_011990,39.00786738370064,19.66685116265036,0.10391002321921318,0.037308851877848305,9.623208045959473,8.150500297546387,0.14584759854163235
quandian__quandian_011993,39.13404213822504,22.698122794384062,0.07329829292332708,0.11710961659749348,10.960756301879883,7.784843444824219,0.15226453638297996
quandian__quandian_011995,42.96119828129898,23.894932885332445,0.06386359405907628,0.04385248819986979,5.640452861785889,8.153233528137207,0.11725236519703705
nilut__LUT01,None,27.734971656448945,0.04104416427666444,0.07905133565266927,3.5283150672912598,1.4010006189346313,0.1529404501082373
